city,attraction_name,description,attraction_type,address,latitude,longitude,rating,opening_time,closing_time,closing_dates,min_visit_hours,max_visit_hours,ticket_price,popularity_tags,crowd_risk,queue_risk,peak_crowd_windows
Guangzhou,Chimelong Safari Park,,Amusement Park/Sports & Entertainment,,23.007944,113.321711,,09:30,18:00,,2.5,4.0,300.0,classic_hotspot;family_hotspot;photo_spot,high,high,weekend;holiday;summer;school_holiday
Guangzhou,Guangzhou Chimelong Resort,,Amusement Park/Sports & Entertainment,,23.006399,113.330527,,00:00,24:00,,2.5,4.0,0.0,classic_hotspot;family_hotspot;photo_spot,high,high,weekend;holiday;summer;school_holiday
Guangzhou,Canton Tower,,Cultural Landscape,,23.112223,113.331084,,09:30,22:30,,0.5,1.5,149.0,classic_hotspot;photo_spot;night_hotspot;viral,high,high,weekend;holiday;evening;school_holiday
Guangzhou,Chimelong International Circus,,Amusement Park/Sports & Entertainment,,23.009036,113.337965,,15:00,21:00,,1.0,2.0,350.0,night_hotspot;family_hotspot;classic_hotspot,high,high,weekend;holiday;evening;school_holiday
Guangzhou,Chimelong Paradise,,Amusement Park/Sports & Entertainment,,23.00481,113.33685,,10:00,18:00,,2.5,4.0,250.0,classic_hotspot;family_hotspot,high,high,weekend;holiday;school_holiday
Guangzhou,Pearl River Night Cruise,,Amusement Park/Sports & Entertainment,,23.115119,113.294879,,09:00,22:30,,1.0,2.0,98.0,,,,
Guangzhou,Chimelong Water Park,,Amusement Park/Sports & Entertainment,,23.007665,113.330724,,10:00,21:30,,2.0,3.0,69.0,family_hotspot;classic_hotspot;photo_spot,high,high,summer;weekend;holiday;school_holiday
Guangzhou,Guangdong Science Center,,Amusement Park/Sports & Entertainment,,23.045368,113.369589,,09:30,16:30,,1.0,3.5,60.0,family_hotspot,medium,medium,weekend;holiday;school_holiday
Guangzhou,Chen Clan Ancestral Hall,,Historical Sites,,23.132609,113.251995,,09:00,18:00,,3.0,3.5,0.0,classic_hotspot;culture_hotspot;photo_spot,high,medium,weekend;holiday;school_holiday
Guangzhou,Chimelong Bird Paradise,,Amusement Park/Sports & Entertainment,,23.031355,113.284204,,09:30,18:00,,1.5,2.0,100.0,classic_hotspot;family_hotspot,high,high,weekend;holiday;school_holiday
Guangzhou,Shamian Island,,Historical Sites,,23.112627,113.251119,,00:00,24:00,,0.5,2.0,0.0,classic_hotspot;photo_spot;culture_hotspot,high,low,weekend;holiday;evening
Guangzhou,Guangdong Museum,,Museum/Memorial Hall,,23.120537,113.33296,,00:00,24:00,,2.5,4.0,0.0,culture_hotspot;family_hotspot;classic_hotspot,high,high,weekend;holiday;school_holiday
Guangzhou,Guangzhou Zoo,,Amusement Park/Sports & Entertainment,,23.146478,113.311833,,08:00,18:00,,3.0,4.0,0.0,family_hotspot;classic_hotspot,high,medium,weekend;holiday;school_holiday
Guangzhou,Grandview Mall Commercial Tourism Area,,Commercial District,,23.137807,113.333654,,10:00,22:00,,3.0,3.5,0.0,,,,
Guangzhou,Grandview Polar Ocean World,,Amusement Park/Sports & Entertainment,,23.137758,113.332856,,10:00,22:00,,0.5,2.0,125.0,family_hotspot;shopping_hotspot;nature_hotspot,medium,medium,weekend;holiday;summer;school_holiday
Guangzhou,Museum of the Nanyue Kings (Royal Tomb Exhibition Area),,Museum/Memorial Hall,,23.143943,113.267507,,09:00,17:30,,1.0,2.5,0.0,classic_hotspot;culture_hotspot;family_hotspot,high,medium,weekend;holiday;school_holiday
Guangzhou,Sun Yat-sen Memorial Hall,,Red Tourism Sites,,23.139129,113.271126,,09:00,17:30,,1.0,3.5,8.0,classic_hotspot;culture_hotspot;photo_spot,medium,medium,weekend;holiday;school_holiday
Guangzhou,Dafo Temple,,Historical Sites,,23.128808,113.274392,,06:00,21:00,,2.5,3.0,0.0,,,,
Guangzhou,Baiyun Mountain,,Natural Scenery,,23.190623,113.306556,,00:00,24:00,,1.0,2.0,0.0,classic_hotspot;nature_hotspot;photo_spot;family_hotspot,high,medium,weekend;holiday;summer
Guangzhou,Guangzhou Snow City,,Amusement Park/Sports & Entertainment,,23.432566,113.23773,,10:30,20:30,,1.5,3.0,198.0,,,,
Guangzhou,Guangzhou Sunac Cultural Tourism City,,Amusement Park/Sports & Entertainment,,23.435167,113.241125,,00:00,24:00,,1.0,2.0,0.0,family_hotspot;culture_hotspot,medium,medium,weekend;holiday;school_holiday
Guangzhou,"South China National Botanical Garden, Chinese Academy of Sciences",,Park,,23.188836,113.372578,,07:30,17:30,,0.5,1.0,19.9,family_hotspot;nature_hotspot,medium,low,weekend;holiday;summer;school_holiday
Guangzhou,Beijing Road Pedestrian Street,,Commercial District,,23.127945,113.275422,,00:00,24:00,,0.5,2.0,0.0,shopping_hotspot;night_hotspot;photo_spot;classic_hotspot,high,medium,weekend;holiday;evening
Guangzhou,Pearl River Night Cruise Tianzi Pier,,Amusement Park/Sports & Entertainment,,23.120996,113.277576,,09:00,22:30,,2.5,4.0,98.0,,,,
Guangzhou,Yuexiu Park,,Park,,23.14608,113.272266,,00:00,22:00,,0.5,2.0,0.0,classic_hotspot;culture_hotspot;nature_hotspot;family_hotspot,high,low,weekend;holiday
Guangzhou,Yongqing Fang,,Commercial District,,23.120549,113.244008,,00:00,24:00,,1.0,2.5,0.0,viral;photo_spot;culture_hotspot;shopping_hotspot,high,low,weekend;holiday;evening
Guangzhou,Xiguan Yongqing Fang Tourism Area,,Cultural Tourism Zone,,23.12075,113.244039,,00:00,24:00,,2.5,4.0,0.0,,,,
Guangzhou,Shawan Ancient Town,,Historical Sites,,22.909439,113.340932,,09:00,17:30,,1.5,3.0,30.0,,,,
Guangzhou,Shangxiajiu Pedestrian Street,,Commercial District,,23.119805,113.252523,,00:00,24:00,,3.0,4.0,0.0,shopping_hotspot;classic_hotspot;photo_spot,high,low,weekend;holiday;evening
Guangzhou,"Sacred Heart Cathedral, Guangzhou",,Historical Sites,,23.120805,113.266558,,09:00,11:00,,2.0,2.5,0.0,classic_hotspot;photo_spot;culture_hotspot,high,low,weekend;holiday
Guangzhou,Guangzhou Sunac Land,,Amusement Park/Sports & Entertainment,,23.435471,113.246764,,11:00,18:00,,3.0,4.0,208.0,,,,
Guangzhou,Baishuizhai Scenic Area,,Natural Scenery,,23.599255,113.771154,,08:30,17:30,,1.0,1.5,54.0,,,,
Guangzhou,Lingnan Impression Park,,Cultural Tourism Zone,,23.043105,113.412924,,09:30,18:00,,2.5,4.0,54.0,,,,
Guangzhou,Whampoa Military Academy Memorial Hall,,Museum/Memorial Hall,,23.092368,113.431318,,09:00,17:00,,2.0,2.5,0.0,culture_hotspot,low,medium,weekend;holiday
Guangzhou,Baomo Garden,,Cultural Tourism Zone,,22.900712,113.300935,,08:30,17:00,,2.0,2.5,48.0,classic_hotspot,medium,medium,weekend;holiday
Guangzhou,Nansha Tianhou Palace,,Cultural Landscape,,22.762606,113.625188,,08:30,17:00,,1.0,1.5,14.9,classic_hotspot,medium,medium,weekend;holiday
Guangzhou,Forest Sea Water Park,,Amusement Park/Sports & Entertainment,,23.573071,113.770945,,10:00,21:00,,1.5,3.0,0.0,,,,
Guangzhou,Guangzhou Museum,,Museum/Memorial Hall,,23.143971,113.27211,,09:00,18:00,,1.5,3.0,0.0,classic_hotspot;family_hotspot;culture_hotspot,medium,medium,weekend;holiday;school_holiday
Guangzhou,Pearl River Night Cruise Canton Tower Fortune Pier,,Amusement Park/Sports & Entertainment,,23.113208,113.333565,,09:00,22:30,,1.5,3.0,108.0,,,,
Guangzhou,Pearl River Night Cruise Dashatou Pier,,Amusement Park/Sports & Entertainment,,23.118706,113.291887,,09:00,22:30,,1.5,3.0,93.0,,,,
Guangzhou,Yuyin Shanfang Garden,,Historical Sites,,23.017654,113.402024,,08:00,18:00,,1.0,2.5,18.0,photo_spot;nature_hotspot,medium,low,weekend;holiday;summer
Guangzhou,Lotus Hill Tourism Area,,Cultural Tourism Zone,,22.993236,113.509893,,07:00,17:00,,1.0,1.5,54.0,photo_spot;night_hotspot;nature_hotspot,medium,low,weekend;holiday;evening;summer
Guangzhou,Guangzhou Ocean Museum,,Amusement Park/Sports & Entertainment,,23.149705,113.311261,,09:30,18:30,,3.0,3.5,160.0,,,,
Guangzhou,Haixinsha Asian Games Park,,Park,,23.117202,113.331179,,07:00,23:00,,1.0,2.0,0.0,viral;photo_spot;nature_hotspot,medium,low,weekend;holiday;summer
Guangzhou,Huacheng Square,,Commercial District,,23.125752,113.331127,,00:00,24:00,,0.5,1.0,0.0,classic_hotspot;photo_spot;night_hotspot;shopping_hotspot,high,low,weekend;holiday;evening
Guangzhou,Grandview Rainforest Ecological Botanical Garden,,Park,,23.137906,113.333565,,10:00,22:00,,3.0,3.5,98.0,,,,
Guangzhou,Guangzhou City Double-Decker Sightseeing Bus (Yuetao Bus),,Amusement Park/Sports & Entertainment,,23.113765,113.31604,,09:00,17:00,,2.0,2.5,0.0,,,,
Guangzhou,Guangzhou Orchid Park,,Park,,23.149913,113.266761,,00:00,18:00,,1.5,3.0,8.0,,,,
Guangzhou,Haizhu National Wetland Park,,Park,,23.072321,113.343072,,09:00,19:00,,2.5,3.0,18.0,classic_hotspot;photo_spot;nature_hotspot,medium,low,weekend;holiday;summer
Guangzhou,Grandview Natural Science Museum,,Museum/Memorial Hall,,23.137456,113.334356,,10:00,20:00,,2.5,4.0,40.0,,,,
Guangzhou,Qianlonggou Grand Waterfall,,Natural Scenery,,23.713006,113.865891,,09:00,18:00,,0.5,1.0,58.0,,,,
Guangzhou,Museum of the Nanyue Kings (Royal Palace Exhibition Area),,Historical Sites,,23.1331,113.276352,,09:00,17:30,,2.0,3.0,0.0,,,,
Guangzhou,Canton Tower Alpha Exploration Park,,Amusement Park/Sports & Entertainment,,23.112223,113.331084,,15:00,22:00,,1.5,3.0,378.0,,,,
Guangzhou,Grandview Penguin Ice and Snow World,,Amusement Park/Sports & Entertainment,,23.137465,113.333506,,11:00,20:00,,1.0,1.5,158.0,,,,
Guangzhou,Pearl River Night Cruise Haixinsha West Pier,,Amusement Park/Sports & Entertainment,,23.116211,113.330131,,16:00,22:30,,2.5,3.0,0.0,,,,
Guangzhou,Tianren Shanshui Land Art Park,,Amusement Park/Sports & Entertainment,,23.440908,113.594523,,10:00,19:00,,0.5,1.0,58.0,,,,
Guangzhou,Pearl River Night Cruise Canton Tower · Zhongda Pier,,Cultural Landscape,,23.109558,113.306007,,09:00,22:30,,1.0,2.0,0.0,,,,
Guangzhou,Haixin Bridge,,Amusement Park/Sports & Entertainment,,23.113958,113.325485,,07:00,23:00,,2.0,2.5,0.0,viral;photo_spot;night_hotspot,high,medium,weekend;holiday;evening
Guangzhou,Thirteen Hongs Museum,,Museum/Memorial Hall,,23.114945,113.257572,,09:00,17:30,,2.0,2.5,0.0,,,,
Guangzhou,Lizhiwan Creek,,Cultural Landscape,,23.125161,113.241536,,00:00,24:00,,0.5,1.0,0.0,nature_hotspot,low,medium,weekend;holiday;summer
Guangzhou,Shimen National Forest Park,,Park,,23.631008,113.788742,,09:00,19:00,,1.0,2.0,40.0,,,,
Guangzhou,Taikoo Wharf,,Commercial District,,23.094555,113.259118,,00:00,24:00,,2.0,3.5,0.0,night_hotspot,low,medium,weekend;holiday;evening
Guangzhou,Cantonese Opera Art Museum,,Museum/Memorial Hall,,23.121247,113.244769,,09:00,21:00,,2.0,3.0,0.0,,,,
Guangzhou,Dafengmen Scenic Area,,Natural Scenery,,23.589925,113.822522,,09:00,17:30,,2.5,3.0,48.0,,,,
Guangzhou,Guangzhou Lizhiwan Cruise,,Amusement Park/Sports & Entertainment,,23.126744,113.240948,,09:30,17:00,,0.5,1.5,0.0,,,,
Guangzhou,Bruce Lee's Ancestral Home,,Historical Sites,,23.121135,113.243461,,08:30,21:30,,0.5,1.5,0.0,,,,
Guangzhou,Madame Tussauds (Canton Tower),,Cultural Landscape,,23.112175,113.331955,,10:00,22:30,,0.5,1.0,98.0,,,,
Guangzhou,Metaverse Experience Hall (Guangzhou Branch),,Amusement Park/Sports & Entertainment,,23.139917,113.328022,,10:00,22:00,,2.5,4.0,59.9,,,,
Guangzhou,Tianlu Lake Forest Park,,Park,,23.228718,113.426335,,09:00,17:00,,2.0,3.5,5.0,,,,
Guangzhou,Flying Forest Adventure Park,,Amusement Park/Sports & Entertainment,,23.229421,113.432816,,09:00,17:30,,0.5,2.0,65.0,,,,
Guangzhou,Zhujiang New Town,,Commercial District,,23.124903,113.339912,,00:00,24:00,,3.0,3.5,0.0,classic_hotspot;viral;photo_spot;night_hotspot,high,,evening;weekend;holiday
Guangzhou,Liwan Lake Park,,Park,,23.126903,113.239395,,00:00,24:00,,2.0,3.5,0.0,,,,
Guangzhou,Pearl River Night Cruise Xidi Pier,,Cultural Landscape,,23.113222,113.258634,,16:00,22:30,,0.5,1.0,0.0,,,,
Guangzhou,Guangzhou Sunac Sports World,,Amusement Park/Sports & Entertainment,,23.431966,113.240339,,13:00,19:00,,2.0,2.5,0.0,,,,
Guangzhou,Sun Yat-sen University (South Campus),,University Campus,,23.102915,113.304864,,09:00,18:00,,3.0,4.0,0.0,,,,
Guangzhou,Grandview Science Museum · Grandview Planetarium,,Amusement Park/Sports & Entertainment,,23.138001,113.333422,,10:00,20:00,,1.0,1.5,0.0,,,,
Guangzhou,Yuntai Garden,,Park,,23.163796,113.29808,,00:00,18:00,,2.0,3.0,0.0,,,,
Guangzhou,Sun Yat-sen Grand Marshal's Mansion Memorial Hall,,Museum/Memorial Hall,,23.116337,113.285651,,08:30,17:30,,2.0,3.0,0.0,,,,
Guangzhou,Guangxiao Temple,,Historical Sites,,23.135332,113.263078,,08:30,16:30,,2.0,2.5,0.0,culture_hotspot,low,medium,weekend;holiday
Guangzhou,Nansha Wetland,,Natural Scenery,,22.617149,113.654605,,09:00,17:00,,3.0,4.0,36.0,classic_hotspot;photo_spot;nature_hotspot,medium,low,weekend;holiday;summer
Guangzhou,Nansha Yacht Club,,Amusement Park/Sports & Entertainment,,22.783418,113.608285,,09:00,21:00,,2.5,4.0,0.0,,,,
Guangzhou,Liuxi River National Forest Park,,Natural Scenery,,23.756617,113.789932,,08:00,17:00,,0.5,1.0,20.0,,,,
Guangzhou,Jiulong Lake Resort,,Amusement Park/Sports & Entertainment,,23.480803,113.419942,,00:00,24:00,,2.0,3.0,0.0,,,,
Guangzhou,Golden Coast Water Park,,Amusement Park/Sports & Entertainment,,23.110856,113.299853,,00:00,24:00,,1.5,3.0,0.0,,,,
Guangzhou,Baiyun Zipline,,Amusement Park/Sports & Entertainment,,23.191107,113.311189,,10:30,17:30,,1.5,2.0,0.0,,,,
Guangzhou,Guangzhou Cultural Center (New Hall),,Art Museum/Gallery,,23.081787,113.33519,,09:00,17:30,,2.5,4.0,0.0,culture_hotspot,low,medium,weekend;holiday
Guangzhou,Liuhua Lake Park,,Park,,23.143355,113.257705,,00:00,22:00,,2.5,4.0,0.0,,,,
Guangzhou,Yuanyuan Taoist Temple,,Cultural Landscape,,23.405862,113.186642,,08:00,17:00,,1.0,1.5,15.0,,,,
Guangzhou,Nanhan Imperial Tombs Museum,,Museum/Memorial Hall,,23.053533,113.390497,,09:00,17:30,,0.5,1.0,0.0,,,,
Guangzhou,Huanghuagang 72 Martyrs Cemetery,,Red Tourism Sites,,23.146964,113.300857,,06:30,21:00,,1.0,2.0,0.0,,,,
Guangzhou,Canton Customs House Museum,,Museum/Memorial Hall,,23.113315,113.257528,,09:00,16:00,,1.0,2.0,0.0,,,,
Guangzhou,Guangzhou Library,,Cultural Landscape,,23.122229,113.331974,,09:00,21:00,,2.5,4.0,0.0,,,,
Guangzhou,Huadu Fragrant World,,Amusement Park/Sports & Entertainment,,23.467507,113.267391,,09:00,18:00,,2.0,2.5,65.0,,,,
Guangzhou,Liede Bridge,,Cultural Landscape,,23.117739,113.340408,,00:00,24:00,,2.5,4.0,0.0,,,,
Guangzhou,Guangzhou Haopu Art Museum,,Museum/Memorial Hall,,23.1741,113.464,,09:00,18:00,,1.0,2.0,0.0,,,,
Guangzhou,Ersha Island,,Park,,23.115879,113.311347,,00:00,24:00,,1.5,2.0,0.0,photo_spot;nature_hotspot,medium,low,weekend;holiday;summer
Guangzhou,Grandview Mall,,Commercial District,,23.137887,113.333548,,10:00,22:00,,0.5,1.5,0.0,photo_spot;night_hotspot;shopping_hotspot,medium,low,weekend;holiday;evening
Guangzhou,Baiyun Mountain Ropeway,,Amusement Park/Sports & Entertainment,,23.163525,113.302034,,09:00,18:00,,1.5,2.0,0.0,,,,
Guangzhou,Aerial Cable Car,,Amusement Park/Sports & Entertainment,,23.006068,113.324758,,10:30,17:30,,1.0,2.5,0.0,,,,
Guangzhou,TIT Creative Park,,Cultural Landscape,,23.105729,113.33187,,00:00,21:00,,1.0,2.0,0.0,,,,
Guangzhou,Guangzhou City City God Temple,,Historical Sites,,23.132731,113.2775,,00:00,17:00,,1.0,2.0,0.0,,,,
Guangzhou,Shijian Xiangjing · Qixidi,,Cultural Tourism Zone,,23.536018,113.396561,,09:00,18:00,,2.0,3.0,0.0,,,,
Guangzhou,Changzhou Island,,Natural Scenery,,23.082388,113.442626,,00:00,24:00,,0.5,1.0,0.0,,,,
Guangzhou,Nanhai God Temple,,Historical Sites,,23.087583,113.504607,,09:00,17:00,,1.0,2.5,20.0,,,,
Guangzhou,Guangzhou Metro Museum,,Museum/Memorial Hall,,23.101949,113.389465,,10:00,16:00,,1.0,2.5,0.0,,,,
Guangzhou,Huangpu Ancient Port,,Historical Sites,,23.095461,113.396026,,00:00,24:00,,3.0,4.0,0.0,,,,
Guangzhou,Xitou Tourism Village,,Cultural Tourism Zone,,23.719128,113.873632,,00:00,24:00,,1.5,3.0,100.0,,,,
Guangzhou,Dalang Taosha (Xiancun Road Branch),,Commercial District,,23.12225,113.334984,,00:00,24:00,,0.5,2.0,0.0,,,,
Guangzhou,Ready Player One Guangdong Guangzhou Skydiving Base,,Amusement Park/Sports & Entertainment,,23.141299,113.349842,,08:00,23:30,,2.0,3.0,0.0,,,,
Guangzhou,Xinhai Revolution Memorial Hall,,Museum/Memorial Hall,,23.078246,113.426816,,09:00,17:00,,3.0,3.5,0.0,culture_hotspot,low,medium,weekend;holiday
Guangzhou,Longjin West Xiguan Mansion Area,,Historical Sites,,23.125071,113.242277,,09:00,17:30,,0.5,2.0,0.0,,,,
Guangzhou,Guangzhou Water Bus,,Amusement Park/Sports & Entertainment,,23.112249,113.246822,,07:00,18:30,,3.0,4.0,0.0,,,,
Guangzhou,Guangzhou Children's Park,,Park,,23.190304,113.278107,,08:00,18:00,,2.0,3.0,0.0,,,,
Guangzhou,Haigou Island,,Amusement Park/Sports & Entertainment,,22.97941,113.531663,,00:00,24:00,,2.0,2.5,0.0,,,,
Guangzhou,Five Rams Sculpture,,Cultural Landscape,,23.144145,113.269391,,00:00,22:00,,0.5,1.5,0.0,,,,
Guangzhou,Guangzhou Railway Museum,,Museum/Memorial Hall,,23.117024,113.238448,,09:00,16:00,,0.5,1.5,0.0,,,,
Guangzhou,Nansha Water Bird World Ecological Park,,Park,,22.619486,113.643696,,09:00,17:00,,0.5,1.0,0.0,,,,
Guangzhou,Tianhe Park,,Park,,23.134103,113.371801,,06:30,22:00,,3.0,3.5,0.0,,,,
Guangzhou,Guangzhou Art Museum,,Art Museum/Gallery,,23.149166,113.28707,,09:00,17:00,,0.5,1.0,0.0,classic_hotspot;viral;photo_spot,high,,weekend;holiday
Guangzhou,Crazy Maiji (Guangzhou Experience Hall),,Amusement Park/Sports & Entertainment,,22.976506,113.308682,,13:00,22:00,,1.5,2.0,0.0,,,,
Guangzhou,Guangdong Museum of Art,,Art Museum/Gallery,,23.114039,113.313698,,09:00,17:00,,1.0,2.0,0.0,photo_spot;culture_hotspot,medium,medium,weekend;holiday
Guangzhou,Baoneng Guangzhou International Sports and Performing Arts Center,,Amusement Park/Sports & Entertainment,,23.181722,113.489011,,08:30,17:00,,1.0,2.0,0.0,,,,
Guangzhou,Poly World Trade Expo Center,,Museum/Memorial Hall,,23.103718,113.372736,,00:00,24:00,,2.0,3.0,0.0,,,,
Guangzhou,Kecun,,Commercial District,,23.101735,113.325925,,00:00,24:00,,1.5,2.0,0.0,,,,
Guangzhou,Peasant Movement Training Institute Site,,Red Tourism Sites,,23.13386,113.28287,,09:00,17:30,,2.5,3.0,0.0,,,,
Guangzhou,Guangzhou Sega Urban Entertainment Center,,Amusement Park/Sports & Entertainment,,23.195674,113.600847,,10:00,21:00,,0.5,1.5,0.0,,,,
Guangzhou,Guangzhou Junming Happy World,,Amusement Park/Sports & Entertainment,,23.195372,113.599518,,10:00,20:00,,1.5,2.0,0.0,,,,
Guangzhou,Baijianghu Forest Park,,Park,,23.503464,113.915041,,08:00,19:00,,0.5,2.0,10.0,,,,
Guangzhou,Pazhou Hong Kong and Macau Passenger Port,,Cultural Landscape,,23.110248,113.373718,,09:00,18:00,,0.5,1.0,0.0,,,,
Guangzhou,Guangzhou Youth Science and Technology Museum,,Museum/Memorial Hall,,23.148823,113.278079,,09:30,17:00,,2.0,3.0,0.0,,,,
Guangzhou,Guangzhou Cultural Park,,Park,,23.115633,113.257337,,07:00,21:30,,2.0,3.0,0.0,,,,
Guangzhou,Aiqun Building,,Commercial District,,23.115593,113.263623,,00:00,24:00,,2.5,4.0,0.0,,,,
Guangzhou,Guangzhou Yi · Airport Cultural Tourism Town,,Cultural Tourism Zone,,23.360714,113.299584,,00:00,24:00,,2.0,2.5,0.0,,,,
Guangzhou,Liurong Temple,,Historical Sites,,23.134141,113.266451,,08:00,16:30,,2.0,2.5,0.0,culture_hotspot,low,medium,weekend;holiday
Guangzhou,Dongshan Lake Park,,Park,,23.122361,113.298465,,00:00,21:30,,0.5,1.5,0.0,classic_hotspot;photo_spot;nature_hotspot,medium,low,weekend;holiday;summer
Guangzhou,Liwan Museum,,Museum/Memorial Hall,,23.125681,113.242686,,09:00,17:00,,3.0,3.5,0.0,,,,
Guangzhou,Sanyuanli People's Anti-British Struggle Memorial Hall,,Red Tourism Sites,,23.166898,113.266612,,09:00,18:00,,2.0,3.0,0.0,,,,
Guangzhou,Chunyantai,,Cultural Landscape,,23.341129,113.095442,,10:00,18:00,,0.5,1.0,60.0,,,,
Guangzhou,Youma Space (Pazhou Branch),,Amusement Park/Sports & Entertainment,,23.103843,113.363278,,00:00,24:00,,1.0,2.0,0.0,,,,
Guangzhou,Pazhou Pagoda,,Historical Sites,,23.105305,113.382269,,00:00,24:00,,1.0,2.0,0.0,,,,
Guangzhou,Guangdong Herbal Tea Museum,,Museum/Memorial Hall,,23.185393,113.456405,,09:00,17:00,,3.0,3.5,0.0,,,,
Guangzhou,Pearl River Pita Beer Cultural and Creative Art District,,Cultural Tourism Zone,,23.112566,113.346401,,17:30,02:00,,2.0,3.0,0.0,,,,
Guangzhou,Moxing Ridge,,Natural Scenery,,23.188995,113.307707,,00:00,24:00,,2.5,4.0,0.0,,,,
Guangzhou,Wuzhi Mountain,,Natural Scenery,,23.741667,113.81041,,08:00,17:00,,2.0,3.0,20.0,,,,
Guangzhou,Guangzhou Valley International Tourism Resort,,Amusement Park/Sports & Entertainment,,23.478783,113.597056,,09:30,17:30,,1.5,2.0,0.0,,,,
Guangzhou,Dafu Mountain Forest Park,,Park,,22.956343,113.315528,,08:00,18:00,,2.5,3.0,0.0,,,,
Guangzhou,Haizhu Lake Park,,Park,,23.078539,113.330994,,08:00,20:00,,0.5,1.5,0.0,classic_hotspot;photo_spot;nature_hotspot,medium,low,weekend;holiday;summer
Guangzhou,Shamian Church,,Historical Sites,,23.112754,113.248153,,00:00,24:00,,3.0,3.5,0.0,,,,
Guangzhou,Tianhe Sports Center,,Amusement Park/Sports & Entertainment,,23.143232,113.331575,,06:00,22:00,,3.0,4.0,0.0,,,,
Guangzhou,Xinghai Concert Hall,,Art Museum/Gallery,,23.113815,113.31217,,00:00,20:30,,1.0,1.5,0.0,,,,
Guangzhou,Zhujiang Park,,Park,,23.127287,113.347168,,00:00,22:00,,2.0,3.0,0.0,,,,
Guangzhou,Wong Tai Sin Temple,,Cultural Landscape,,23.101465,113.233717,,00:00,17:30,,3.0,4.0,0.0,,,,
Guangzhou,Jiulong Lake Ecological Park,,Park,,23.47724,113.425418,,09:00,17:00,,1.0,2.5,55.0,,,,
Guangzhou,Panyu Children's Park,,Amusement Park/Sports & Entertainment,,22.967148,113.373662,,08:00,21:30,,1.5,3.0,0.0,classic_hotspot;photo_spot;nature_hotspot,medium,low,weekend;holiday;summer
Guangzhou,Yuexiu Mountain,,Park,,23.144092,113.269578,,00:00,21:00,,3.0,3.5,0.0,,,,
Guangzhou,Guangzhou International Finance Center - West Tower,,Commercial District,,23.123486,113.329659,,10:00,22:00,,3.0,3.5,0.0,,,,
Guangzhou,Tianhe Road Commercial District,,Commercial District,,23.147072,113.336053,,00:00,24:00,,0.5,1.0,0.0,shopping_hotspot;nature_hotspot,medium,low,weekend;holiday;evening;summer
